"","P","Y","A","G"
"1088",4,4,1,0
"1089",3,2,1,-1
"1090",3,3,2,0
"1091",3,4,2,1
"1092",3,5,2,2
"1093",2,4,2,2
"1094",4,4,2,0
"1095",5,5,2,0
"1096",4,5,2,1
"1097",5,5,2,0
"1098",4,5,2,1
"1099",2,1,1,-1
"1100",3,3,2,0
"1101",3,4,2,1
"1102",2,4,2,2
"1103",2,3,1,1
"1104",3,5,2,2
"1105",2,4,2,2
"1106",2,4,1,2
"1107",3,4,2,1
"1108",2,3,1,1
"1109",3,4,1,1
"1110",1,4,1,3
"1111",2,4,1,2
"1112",2,3,1,1
"1113",3,3,2,0
"1114",3,4,2,1
"1115",3,3,2,0
"1116",4,5,2,1
"1117",5,5,1,0
"1118",4,5,2,1
"1119",2,3,1,1
"1120",2,5,2,3
"1121",4,5,2,1
"1122",4,4,1,0
"1123",2,3,2,1
"1124",2,4,1,2
"1125",2,5,1,3
"1126",4,3,1,-1
"1127",2,1,1,-1
"1128",3,5,2,2
"1129",4,5,2,1
"1130",3,5,1,2
"1131",3,5,2,2
"1132",3,4,2,1
"1133",5,5,1,0
"1134",3,2,1,-1
"1135",2,4,1,2
"1136",2,4,1,2
"1137",3,5,2,2
"1138",5,4,2,-1
"1139",2,3,2,1
"1140",2,2,1,0
"1141",3,4,1,1
"1142",3,5,1,2
"1143",4,5,1,1
"1144",3,5,1,2
"1145",3,2,1,-1
"1146",5,5,1,0
"1147",5,4,1,-1
"1148",4,4,1,0
"1149",4,4,1,0
"1150",4,5,1,1
"1151",5,5,1,0
"1152",2,5,1,3
"1153",5,5,1,0
"1154",5,5,2,0
"1155",4,5,2,1
"1156",3,3,2,0
"1157",5,5,2,0
"1158",4,4,2,0
"1159",5,5,2,0
"1160",4,5,2,1
"1161",5,4,1,-1
"1162",3,4,1,1
"1163",5,5,1,0
"1164",3,4,1,1
"1165",5,4,1,-1
"1166",4,5,1,1
"1167",2,3,1,1
"1168",5,5,1,0
"1169",2,3,1,1
"1170",5,4,1,-1
"1171",5,3,2,-2
"1172",4,5,2,1
"1173",3,5,2,2
"1174",4,5,2,1
"1175",5,5,2,0
"1176",4,5,2,1
"1177",5,5,2,0
"1178",5,5,1,0
"1179",2,4,1,2
"1180",3,5,1,2
"1181",5,4,1,-1
"1182",2,5,1,3
"1183",4,3,1,-1
"1184",3,4,1,1
"1185",4,5,1,1
"1186",2,3,1,1
"1187",5,4,2,-1
"1188",5,5,2,0
"1189",5,5,2,0
"1190",3,5,2,2
"1191",5,5,2,0
"1192",5,5,2,0
"1193",4,5,2,1
"1194",5,5,2,0
"1195",5,5,2,0
"1196",5,4,2,-1
"1197",2,4,1,2
"1198",4,5,1,1
"1199",3,3,1,0
"1200",4,4,1,0
"1201",2,2,1,0
"1202",3,2,2,-1
"1203",4,5,1,1
"1204",2,4,1,2
"1205",5,5,2,0
"1206",2,3,1,1
"1207",4,5,2,1
"1208",2,3,2,1
"1209",2,5,1,3
"1210",2,2,1,0
"1211",4,5,2,1
"1212",3,4,2,1
"1213",3,4,2,1
"1214",1,4,1,3
"1215",4,5,2,1
"1216",4,4,2,0
"1217",5,5,2,0
"1218",2,1,2,-1
"1219",3,3,1,0
"1220",3,4,2,1
"1221",4,4,1,0
"1222",3,3,2,0
"1223",3,4,1,1
"1224",3,5,1,2
"1225",5,5,2,0
"1226",2,2,1,0
"1227",4,5,1,1
"1228",4,5,1,1
"1229",4,4,2,0
"1230",2,5,1,3
"1231",2,3,1,1
"1232",3,4,2,1
"1233",5,5,1,0
"1234",4,4,2,0
"1235",4,5,1,1
"1236",2,4,2,2
"1237",3,4,2,1
"1238",4,5,2,1
"1239",3,5,1,2
"1240",3,4,1,1
"1241",3,4,1,1
"1242",4,5,1,1
"1243",1,3,1,2
"1244",4,4,1,0
"1245",5,5,1,0
"1246",4,5,1,1
"1247",5,5,1,0
"1248",4,5,1,1
"1249",4,4,2,0
"1250",3,5,2,2
"1251",4,5,2,1
"1252",2,5,2,3
"1253",2,4,2,2
"1254",3,4,2,1
"1255",5,5,2,0
"1256",2,3,2,1
"1257",2,2,2,0
"1258",4,5,2,1
"1259",4,5,2,1
"1260",4,5,2,1
"1261",3,3,1,0
"1262",2,4,1,2
"1263",4,4,1,0
"1264",3,4,1,1
"1265",3,5,1,2
"1266",5,5,1,0
"1267",5,5,1,0
"1268",5,5,2,0
"1269",3,3,2,0
"1270",3,4,2,1
"1271",5,5,2,0
"1272",2,3,2,1
"1273",4,4,2,0
"1274",4,5,2,1
"1275",4,4,2,0
"1276",2,1,2,-1
"1277",5,5,2,0
"1278",3,4,1,1
"1279",5,4,1,-1
"1280",3,3,1,0
"1281",3,5,1,2
"1282",3,5,1,2
"1283",4,4,1,0
"1284",1,2,1,1
"1285",5,5,1,0
"1286",3,4,1,1
"1287",5,5,1,0
"1288",5,5,2,0
"1289",4,5,2,1
"1290",2,2,2,0
"1291",2,3,2,1
"1292",4,5,2,1
"1293",5,5,2,0
"1294",2,4,2,2
"1295",4,3,2,-1
"1296",2,1,2,-1
"1297",4,5,2,1
"1298",3,5,2,2
"1299",3,3,1,0
"1300",3,5,1,2
"1301",2,3,1,1
"1302",2,4,1,2
"1303",5,5,1,0
"1304",2,5,1,3
"1305",5,5,1,0
"1307",3,5,1,2
"1308",3,5,2,2
"1309",4,3,2,-1
"1310",4,5,2,1
"1311",3,5,2,2
"1312",3,4,2,1
"1313",3,5,2,2
"1314",4,5,2,1
"1315",3,4,2,1
"1316",4,4,2,0
"1317",2,3,2,1
"1318",2,3,2,1
"1319",5,5,2,0
"1320",4,4,1,0
"1321",5,3,1,-2
"1322",4,5,1,1
"1323",3,5,1,2
"1324",4,5,1,1
"1325",2,3,1,1
"1326",4,5,1,1
"1327",3,5,1,2
"1328",3,5,2,2
"1329",5,5,2,0
"1330",4,5,2,1
"1331",3,4,2,1
"1332",3,4,2,1
"1333",3,3,2,0
"1334",2,2,2,0
"1335",2,2,1,0
"1336",4,5,2,1
"1337",2,4,2,2
"1338",2,2,2,0
"1339",4,4,2,0
"1340",4,3,2,-1
"1341",5,5,2,0
"1342",4,5,2,1
"1343",3,4,2,1
"1344",2,3,2,1
"1345",5,5,1,0
"1346",5,5,1,0
"1347",3,3,1,0
"1348",5,5,1,0
"1349",4,5,1,1
"1350",2,5,1,3
"1351",2,2,1,0
"1352",4,4,1,0
"1353",2,2,1,0
"1354",4,5,2,1
"1355",4,5,2,1
"1356",5,5,2,0
"1357",4,5,2,1
"1358",2,1,2,-1
"1359",3,4,2,1
"1360",2,3,2,1
"1361",3,4,1,1
"1362",5,4,1,-1
"1363",3,4,1,1
"1364",5,5,1,0
"1365",2,2,1,0
"1366",4,4,1,0
"1367",4,5,1,1
"1368",4,4,1,0
"1369",4,5,1,1
"1370",4,4,1,0
"1371",5,5,1,0
"1372",3,4,1,1
"1373",4,5,1,1
"1374",4,5,1,1
"1375",3,4,1,1
"1376",2,3,1,1
"1377",3,5,1,2
"1378",4,5,1,1
"1379",4,5,1,1
"1380",4,5,1,1
"1381",3,4,1,1
"1382",2,4,1,2
"1383",4,4,2,0
"1384",4,5,2,1
"1385",3,4,2,1
"1386",2,2,2,0
"1387",1,3,2,2
"1388",3,4,2,1
"1389",2,3,2,1
"1390",2,4,2,2
"1391",1,3,1,2
"1392",3,4,1,1
"1393",5,5,1,0
"1394",4,5,1,1
"1395",3,5,1,2
"1396",3,4,1,1
"1397",4,3,1,-1
"1398",2,5,1,3
"1399",3,5,1,2
"1400",5,5,2,0
"1401",2,3,2,1
"1402",3,3,2,0
"1403",2,3,2,1
"1404",4,5,2,1
"1405",2,5,2,3
"1406",4,4,2,0
"1407",2,2,2,0
"1408",4,5,2,1
"1409",5,4,2,-1
"1410",3,3,2,0
"1411",5,4,1,-1
"1412",3,4,1,1
"1413",2,5,1,3
"1414",2,4,1,2
"1415",4,5,1,1
"1416",5,5,1,0
"1417",2,2,1,0
"1418",5,4,1,-1
"1419",4,5,2,1
"1420",3,4,2,1
"1421",2,5,2,3
"1422",2,1,2,-1
"1423",3,5,2,2
"1424",2,3,2,1
"1425",5,5,2,0
"1426",3,1,2,-2
"1427",5,4,2,-1
"1428",3,4,2,1
"1429",3,4,2,1
"1430",2,3,2,1
"1431",4,5,2,1
"1432",4,5,2,1
"1433",2,2,2,0
"1434",1,5,2,4
"1435",5,5,1,0
"1436",2,2,1,0
"1437",3,4,1,1
"1438",4,5,1,1
"1439",2,2,1,0
"1440",1,3,1,2
"1441",3,3,1,0
"1442",3,3,1,0
"1443",4,5,1,1
"1444",4,4,1,0
"1445",2,2,2,0
"1446",3,5,2,2
"1447",3,3,2,0
"1448",3,3,2,0
"1449",2,2,2,0
"1450",5,5,2,0
"1451",2,5,1,3
"1452",3,4,1,1
"1453",5,5,1,0
"1454",3,4,1,1
"1455",3,5,1,2
"1456",3,4,1,1
"1457",5,3,1,-2
"1458",3,2,1,-1
"1459",3,5,1,2
"1460",4,5,1,1
"1461",3,4,2,1
"1462",3,5,2,2
"1463",2,4,2,2
"1464",2,4,2,2
"1465",3,5,2,2
"1466",3,2,1,-1
"1467",2,3,1,1
"1468",3,5,1,2
"1469",2,4,1,2
"1470",3,4,1,1
"1471",2,5,1,3
"1472",3,4,1,1
"1473",3,4,1,1
"1474",3,5,1,2
"1475",3,2,2,-1
"1476",2,4,2,2
"1477",3,4,2,1
"1478",3,4,2,1
"1479",3,4,2,1
"1481",2,2,2,0
"1482",3,5,1,2
"1483",4,5,1,1
"1484",2,4,1,2
"1485",5,4,1,-1
"1486",4,3,1,-1
"1487",5,5,2,0
"1488",2,3,2,1
"1489",3,5,2,2
"1490",4,5,2,1
"1491",4,5,2,1
"1492",4,4,2,0
"1493",3,5,2,2
"1494",2,4,2,2
"1495",3,4,1,1
"1496",5,5,1,0
"1497",3,4,1,1
"1498",2,4,1,2
"1499",3,4,1,1
"1500",3,5,1,2
"1501",4,5,1,1
"1502",2,3,1,1
"1503",3,4,1,1
"1504",2,2,1,0
"1505",2,3,1,1
"1506",2,3,2,1
"1507",2,2,2,0
"1508",5,3,2,-2
"1509",3,4,2,1
"1510",2,3,2,1
"1511",5,5,2,0
"1512",4,4,1,0
"1513",2,2,1,0
"1514",3,5,1,2
"1515",5,5,1,0
"1516",2,2,1,0
"1517",3,5,1,2
"1518",3,3,1,0
"1519",2,4,1,2
"1520",3,4,1,1
"1521",3,4,1,1
"1522",5,5,1,0
"1523",5,5,1,0
"1524",5,5,1,0
"1525",4,5,1,1
"1526",3,4,1,1
"1527",3,4,2,1
"1528",2,4,2,2
"1529",3,5,2,2
"1530",2,2,2,0
"1531",4,5,2,1
"1532",2,2,2,0
"1533",4,5,1,1
"1534",3,4,1,1
"1535",5,5,1,0
"1536",5,5,1,0
"1537",3,3,1,0
"1538",5,5,1,0
"1539",5,5,1,0
"1540",3,1,1,-2
"1541",4,5,1,1
"1542",5,5,1,0
"1543",4,5,2,1
"1544",4,5,2,1
"1545",2,4,2,2
"1546",5,5,2,0
"1547",3,4,2,1
"1548",4,3,2,-1
"1549",3,5,2,2
"1550",3,2,2,-1
"1551",5,5,2,0
"1552",3,5,2,2
"1553",3,3,2,0
"1554",5,4,1,-1
"1555",4,5,1,1
"1556",3,3,1,0
"1557",3,4,1,1
"1558",3,3,1,0
"1559",4,5,1,1
"1560",3,4,2,1
"1561",4,4,2,0
"1562",2,4,2,2
"1563",2,2,2,0
"1564",3,3,2,0
"1565",3,5,2,2
"1566",4,5,2,1
"1567",3,5,2,2
"1568",5,5,2,0
"1569",2,2,2,0
"1570",2,3,1,1
"1571",3,4,2,1
"1572",4,4,2,0
"1573",4,5,2,1
"1574",2,3,1,1
"1575",3,3,1,0
"1576",2,4,1,2
"1577",3,5,2,2
"1578",4,5,1,1
"1579",2,3,2,1
"1580",2,2,1,0
"1581",2,3,1,1
"1582",2,4,2,2
"1583",3,4,2,1
"1584",2,1,2,-1
"1585",3,4,2,1
"1586",2,3,2,1
"1587",5,5,1,0
"1588",5,5,2,0
"1589",5,3,2,-2
"1590",3,4,2,1
"1591",2,3,1,1
"1592",3,2,2,-1
"1593",5,5,2,0
"1594",2,3,2,1
"1595",5,5,2,0
"1596",2,4,2,2
"1597",2,2,2,0
"1598",1,1,2,0
"1599",2,4,1,2
"1600",3,2,1,-1
"1601",1,4,1,3
"1602",3,5,1,2
"1603",2,5,1,3
"1604",3,1,1,-2
"1605",2,4,1,2
"1606",3,5,2,2
"1607",3,5,2,2
"1608",2,4,2,2
"1609",3,4,1,1
"1610",2,3,1,1
"1611",2,5,1,3
"1612",3,3,1,0
"1613",3,2,1,-1
"1614",3,2,1,-1
"1615",5,5,1,0
"1616",2,4,1,2
"1617",4,5,2,1
"1618",4,5,1,1
"1619",3,4,1,1
"1620",4,4,1,0
"1621",2,1,1,-1
"1622",2,5,1,3
"1623",5,5,1,0
"1624",3,5,1,2
"1625",5,4,2,-1
"1626",3,4,1,1
"1627",4,3,1,-1
"1628",5,5,1,0
"1629",5,5,1,0
"1630",3,4,2,1
"1631",2,2,1,0
"1632",5,5,1,0
"1633",2,3,1,1
"1634",2,3,1,1
"1635",5,5,2,0
"1636",3,4,2,1
"1637",2,3,2,1
"1638",2,2,1,0
"1639",5,5,1,0
"1640",3,4,2,1
"1641",3,4,2,1
"1642",3,4,2,1
"1643",4,5,1,1
"1644",3,4,1,1
"1645",2,3,1,1
"1646",2,4,1,2
"1647",2,3,1,1
"1648",2,4,1,2
"1649",3,4,2,1
"1650",3,4,2,1
"1651",2,3,1,1
"1652",3,4,1,1
"1653",2,4,1,2
"1654",4,3,1,-1
"1655",3,5,2,2
"1656",5,5,2,0
"1657",3,5,2,2
"1658",2,3,2,1
"1659",4,2,2,-2
"1660",5,5,2,0
"1661",5,3,2,-2
"1662",5,5,2,0
"1663",5,5,2,0
"1664",3,2,2,-1
"1665",5,5,2,0
"1666",4,4,2,0
"1667",5,5,2,0
"1668",2,1,2,-1
"1669",4,4,1,0
"1670",5,3,1,-2
"1671",4,4,1,0
"1672",5,5,1,0
"1673",5,5,1,0
"1674",5,5,1,0
"1676",4,5,2,1
"1677",5,5,2,0
"1678",5,5,2,0
"1679",5,5,2,0
"1680",4,5,2,1
"1681",5,5,2,0
"1682",5,5,2,0
"1683",5,5,2,0
"1684",5,5,2,0
"1685",5,5,1,0
"1686",5,5,1,0
"1687",5,5,1,0
"1688",3,4,1,1
"1689",3,3,1,0
"1690",3,3,1,0
"1691",5,5,1,0
"1692",4,5,1,1
"1693",5,5,2,0
"1694",4,3,2,-1
"1695",3,5,2,2
"1696",5,5,2,0
"1697",5,5,2,0
"1698",4,4,2,0
"1699",5,5,2,0
"1700",4,5,1,1
"1701",3,4,1,1
"1702",4,5,1,1
"1703",3,4,1,1
"1704",5,5,1,0
"1705",5,5,1,0
"1706",3,4,1,1
"1707",3,5,1,2
"1708",5,5,1,0
"1709",5,5,1,0
"1710",4,5,1,1
"1711",4,5,2,1
"1712",5,5,2,0
"1713",5,5,2,0
"1714",5,5,2,0
"1715",5,5,2,0
"1716",5,5,2,0
"1717",5,5,2,0
"1718",5,5,1,0
"1719",4,3,1,-1
"1720",2,4,1,2
"1721",4,5,1,1
"1722",5,4,1,-1
"1723",4,5,1,1
"1724",5,5,1,0
"1725",4,5,2,1
"1726",2,4,2,2
"1727",3,5,2,2
"1728",4,5,2,1
"1729",4,5,2,1
"1730",3,3,2,0
"1731",3,4,2,1
"1732",5,5,2,0
"1733",5,4,2,-1
"1734",5,5,2,0
"1735",5,5,1,0
"1736",5,5,1,0
"1737",5,5,1,0
"1738",5,5,1,0
"1739",4,5,1,1
"1740",3,5,1,2
"1741",4,5,1,1
"1742",4,5,1,1
"1743",5,3,2,-2
"1744",5,5,2,0
"1745",4,5,2,1
"1746",4,4,2,0
"1747",4,4,2,0
"1748",2,1,2,-1
"1749",5,5,2,0
"1750",5,5,2,0
"1751",2,4,2,2
"1752",5,5,1,0
"1753",5,5,1,0
"1754",3,5,1,2
"1755",5,5,1,0
"1756",3,4,1,1
"1757",3,5,1,2
"1758",3,5,1,2
"1759",3,4,2,1
"1760",5,4,2,-1
"1761",3,4,2,1
"1762",2,1,2,-1
"1763",4,2,2,-2
"1764",4,5,2,1
"1765",4,4,2,0
"1766",4,5,2,1
"1767",5,5,1,0
"1768",4,4,1,0
"1769",3,4,1,1
"1770",5,5,1,0
"1771",5,5,1,0
"1772",2,5,1,3
"1773",4,5,1,1
"1774",4,5,1,1
"1775",3,5,2,2
"1776",4,5,2,1
"1777",2,4,2,2
"1778",2,3,2,1
"1779",3,4,2,1
"1780",3,4,2,1
"1781",2,3,2,1
"1782",4,5,2,1
"1783",2,3,2,1
"1784",1,4,1,3
"1785",3,5,1,2
"1786",5,5,1,0
"1787",2,3,2,1
"1788",3,5,2,2
"1789",4,5,2,1
"1790",2,4,2,2
"1791",5,4,2,-1
"1792",5,4,2,-1
"1793",5,5,2,0
"1794",5,5,2,0
"1795",3,5,2,2
"1796",5,5,2,0
"1797",4,5,2,1
"1798",5,5,2,0
"1799",5,5,2,0
"1800",4,5,1,1
"1801",2,4,1,2
"1802",3,3,1,0
"1803",2,4,1,2
"1804",5,2,1,-3
"1805",4,5,1,1
"1806",5,4,1,-1
"1807",4,4,1,0
"1808",3,2,2,-1
"1809",4,3,2,-1
"1810",5,5,2,0
"1811",4,3,2,-1
"1812",2,1,2,-1
"1813",4,3,2,-1
"1814",2,3,1,1
"1815",3,5,1,2
"1816",2,3,1,1
"1817",3,4,1,1
"1818",5,5,1,0
"1819",4,5,1,1
"1820",5,2,1,-3
"1821",4,5,2,1
"1822",4,4,2,0
"1823",4,4,2,0
"1824",3,4,2,1
"1825",2,4,2,2
"1826",4,4,1,0
"1827",2,4,1,2
"1828",5,5,1,0
"1829",3,5,1,2
"1830",5,3,1,-2
"1831",3,4,1,1
"1832",3,5,1,2
"1833",2,3,1,1
"1834",5,5,1,0
"1835",5,5,1,0
"1837",3,5,1,2
"1838",5,5,1,0
"1840",3,4,2,1
"1841",5,5,2,0
"1842",3,4,2,1
"1843",5,5,2,0
"1844",4,5,2,1
"1845",5,5,1,0
"1846",5,5,1,0
"1847",5,4,1,-1
"1848",3,5,1,2
"1849",4,5,1,1
"1850",4,5,1,1
"1851",2,5,1,3
"1852",5,5,1,0
"1853",5,5,2,0
"1854",5,5,2,0
"1855",5,5,2,0
"1856",5,5,1,0
"1857",3,5,1,2
"1859",4,5,1,1
"1860",5,5,1,0
"1861",5,5,1,0
"1862",4,3,1,-1
"1863",5,5,1,0
"1864",3,5,1,2
"1865",5,5,2,0
"1866",3,5,2,2
"1867",3,3,2,0
"1868",5,4,2,-1
"1869",4,3,2,-1
"1870",4,5,1,1
"1871",4,5,1,1
"1872",4,5,1,1
"1873",4,5,1,1
"1874",3,4,1,1
"1875",3,4,1,1
"1876",5,5,1,0
"1877",4,5,1,1
"1879",2,2,1,0
"1880",5,5,2,0
"1881",5,5,2,0
"1882",2,3,2,1
"1883",4,4,2,0
"1884",5,5,2,0
"1885",5,5,2,0
"1886",2,3,2,1
"1887",4,5,1,1
"1888",3,5,1,2
"1889",3,5,1,2
"1890",5,5,1,0
"1891",4,4,1,0
"1892",5,5,1,0
"1893",5,5,1,0
"1894",5,5,1,0
"1895",4,5,1,1
"1896",2,5,2,3
"1897",3,5,2,2
"1898",3,4,2,1
"1899",5,5,2,0
"1900",2,5,2,3
"1901",5,5,2,0
"1902",3,5,2,2
"1903",2,5,1,3
"1904",5,5,1,0
"1905",3,5,1,2
"1906",4,5,1,1
"1907",2,4,1,2
"1908",3,3,1,0
"1909",2,3,1,1
"1910",5,4,2,-1
"1911",3,4,2,1
"1912",3,5,2,2
"1913",4,4,2,0
"1914",2,4,2,2
"1915",3,3,2,0
"1916",5,5,1,0
"1917",3,3,1,0
"1918",3,3,1,0
"1919",4,5,1,1
"1920",5,5,1,0
"1921",4,5,1,1
"1922",5,5,1,0
"1923",3,3,2,0
"1924",5,5,2,0
"1925",3,3,2,0
"1926",4,5,2,1
"1927",3,4,2,1
"1928",5,5,2,0
"1929",3,5,2,2
"1930",5,5,2,0
"1931",5,5,2,0
"1932",5,5,2,0
"1933",4,4,1,0
"1934",5,5,1,0
"1935",4,5,1,1
"1936",3,4,1,1
"1937",4,5,1,1
"1938",5,4,1,-1
"1939",4,4,1,0
"1940",4,5,1,1
"1941",5,5,1,0
"1942",4,5,1,1
"1943",4,5,1,1
"1944",3,4,1,1
"1945",2,5,1,3
"1946",3,4,1,1
"1947",5,4,2,-1
"1948",5,5,2,0
"1949",3,3,2,0
"1950",5,5,2,0
"1951",5,4,2,-1
"1952",2,2,2,0
"1953",1,2,2,1
"1954",5,4,2,-1
"1955",4,3,2,-1
"1956",4,5,2,1
"1957",5,5,2,0
"1958",4,5,2,1
"1959",5,5,1,0
"1960",5,5,1,0
"1961",5,5,1,0
"1962",4,4,1,0
"1963",3,4,1,1
"1964",3,4,1,1
"1966",5,4,2,-1
"1967",4,4,2,0
"1968",4,5,2,1
"1969",2,3,2,1
"1970",3,4,2,1
"1971",4,5,1,1
"1972",4,5,1,1
"1973",5,5,1,0
"1974",4,5,1,1
"1975",2,2,1,0
"1976",4,5,1,1
"1977",4,1,2,-3
"1978",4,5,2,1
"1979",4,3,2,-1
"1980",3,5,2,2
"1981",5,5,2,0
"1982",4,4,1,0
"1983",3,4,1,1
"1984",5,5,1,0
"1985",2,3,1,1
"1986",5,5,1,0
"1987",4,2,1,-2
"1988",3,4,1,1
"1989",4,5,2,1
"1990",4,5,2,1
"1991",3,5,1,2
"1992",5,4,1,-1
"1993",4,5,1,1
"1994",5,5,1,0
"1995",5,5,1,0
"1996",5,5,1,0
"1997",5,2,1,-3
"1998",2,4,1,2
"1999",4,4,1,0
"2000",3,5,1,2
"2001",5,5,2,0
"2002",4,5,2,1
"2003",5,5,2,0
"2004",3,4,2,1
"2005",4,5,2,1
"2006",4,5,2,1
"2007",5,5,2,0
"2008",1,4,1,3
"2009",5,4,1,-1
"2010",4,5,1,1
"2011",4,5,1,1
"2012",5,5,1,0
"2013",4,4,1,0
"2014",4,5,1,1
"2015",3,5,1,2
"2016",4,3,1,-1
"2017",4,5,1,1
"2018",5,5,1,0
"2019",5,5,1,0
"2020",4,5,2,1
"2021",4,5,2,1
"2022",4,5,2,1
"2023",3,3,2,0
"2024",3,4,2,1
"2025",1,4,2,3
"2026",5,5,2,0
"2027",3,4,1,1
"2028",4,5,1,1
"2029",3,5,1,2
"2030",2,1,1,-1
"2031",2,3,1,1
"2032",4,5,1,1
"2033",3,4,1,1
"2034",3,5,1,2
"2035",4,5,1,1
"2036",4,5,2,1
"2037",2,4,2,2
"2038",2,2,2,0
"2039",1,2,2,1
"2040",2,3,2,1
"2041",5,4,2,-1
"2042",4,5,2,1
"2043",5,5,1,0
"2044",3,4,1,1
"2045",5,5,1,0
"2046",5,5,1,0
"2047",2,3,1,1
"2048",3,5,1,2
"2049",2,2,1,0
"2050",3,5,1,2
"2051",5,4,1,-1
"2052",3,4,1,1
"2053",1,3,1,2
"2054",2,4,1,2
"2055",4,5,1,1
"2056",2,1,2,-1
"2057",4,4,2,0
"2058",2,4,2,2
"2059",4,5,2,1
"2060",5,4,2,-1
"2061",4,5,2,1
"2062",3,4,2,1
"2063",3,4,2,1
"2064",2,2,2,0
"2065",3,4,2,1
"2066",2,4,2,2
"2067",3,4,2,1
"2068",5,5,2,0
"2069",3,5,2,2
"2070",3,5,1,2
"2071",4,5,2,1
"2072",2,4,2,2
"2073",3,4,2,1
"2074",5,5,2,0
"2075",5,4,2,-1
"2076",4,3,2,-1
"2077",5,5,1,0
"2078",5,5,1,0
"2079",4,5,1,1
"2080",3,2,1,-1
"2081",1,3,1,2
"2082",2,3,2,1
"2083",2,3,2,1
"2084",3,5,2,2
"2085",4,5,2,1
"2086",5,5,2,0
"2087",5,5,2,0
"2088",4,5,2,1
"2089",4,5,2,1
"2090",3,4,1,1
"2091",4,5,1,1
"2092",2,3,1,1
"2093",3,4,2,1
"2094",3,4,2,1
"2095",4,5,2,1
"2096",2,2,2,0
"2097",5,5,1,0
"2098",2,4,1,2
"2099",4,4,1,0
"2100",2,3,2,1
"2101",4,5,2,1
"2102",4,5,2,1
"2103",3,3,2,0
"2104",3,4,2,1
"2105",3,4,2,1
"2106",3,5,1,2
"2107",3,4,1,1
"2108",5,5,2,0
